a1|aH aH
la1|L aH aH
la2|L aL aH
la3|L aL aL
la4|L aH aL
la5|L aM aM
lai2|L aL ehH
lai3|L aL ehL
lai4|L aH ehL
lan2|L aL nnH
lan3|L aL nnL
lan4|L aH nnL
lang1|L aaH ngH
lang2|L aaL ngH
lang3|L aaL ngL
lang4|L aaH ngL
lao1|L aaH oH
lao2|L aaL oH
lao3|L aaL oL
lao4|L aaH oL
le1|L elH elH
le4|L elH elL
le5|L elM elM
lei2|L ehL iH
lei3|L ehL iL
lei4|L ehH iL
lei5|L ehM iM
leng2|L elL ngH
leng3|L elL ngL
leng4|L elH ngL
li1|li iH iH
li2|li iL iH
li3|li iL iL
li4|li iH iL
lia3|li aL aL
lian2|li aL nnH
lian3|li aL nnL
lian4|li aH nnL
liang2|li aaL ngH
liang3|li aaL ngL
liang4|li aaH ngL
liao1|li aaH oH
liao2|li aaL oH
liao3|li aaL oL
liao4|li aaH oL
lie1|li ehH ehH
lie3|li ehL ehL
lie4|li ehH ehL
lin2|li iL nnH
lin3|li iL nnL
lin4|li iH nnL
ling1|li elH ngH
ling2|li elL ngH
ling3|li elL ngL
ling4|li elH ngL
liu1|li oH uH
liu2|li oL uH
liu3|li oL uL
liu4|li oH uL
long2|lu uL ngH
long3|lu uL ngL
long4|lu uH ngL
lou1|L oH uH
lou2|L oL uH
lou3|L oL uL
lou4|L oH uL
lou5|L oM uM
lu1|lu uH uH
lu2|lu uL uH
lu3|lu uL uL
lu4|lu uH uL
luan2|lu aL nnH
luan3|lu aL nnL
luan4|lu aH nnL
lun1|lu elH nnH
lun2|lu elL nnH
lun3|lu elL nnL
lun4|lu elH nnL
luo1|lu oH oH
luo2|lu oL oH
luo3|lu oL oL
luo4|lu oH oL
lv2|lv ehL nnH
lv3|lv ehL nnL
lv4|lv ehH nnL
lve4|lv elH nnL
ma1|M aH aH
ma2|M aL aH
ma3|M aL aL
ma4|M aH aL
ma5|M aM aM
mai2|M aL ehH
mai3|M aL ehL
mai4|M aH ehL
man2|M aL nnH
man3|M aL nnL
man4|M aH nnL
mang2|M aaL ngH
mang3|M aaL ngL
mao1|M aaH oH
mao2|M aaL oH
mao3|M aaL oL
mao4|M aaH oL
me5|M elM elM
mei2|M ehL iH
mei3|M ehL iL
mei4|M ehH iL
men2|M elL nnH
men3|M elL nnL
men4|M elH nnL
men5|M elM nnM
meng2|M elL ngH
meng3|M elL ngL
meng4|M elH ngL
mi1|mi iH iH
mi2|mi iL iH
mi3|mi iL iL
mi4|mi iH iL
mian2|mi aL nnH
mian3|mi aL nnL
mian4|mi aH nnL
miao1|mi aaH oH
miao2|mi aaL oH
miao3|mi aaL oL
miao4|mi aaH oL
mie1|mi ehH ehH
mie4|mi ehH ehL
min2|mi iL nnH
min3|mi iL nnL
ming2|mi elL ngH
ming3|mi elL ngL
ming4|mi elH ngL
miu4|mi oH uL
mo1|mu uH oH
mo2|mu uL oH
mo3|mu uL oL
mo4|mu uH oL
mo5|mu uM oM
mou1|M oH uH
mou2|M oL uH
mou3|M oL uL
mou4|M oH uL
mu2|mu uL uH
mu3|mu uL uL
mu4|mu uH uL
na2|N aL aH
na3|N aL aL
na4|N aH aL
nai2|N aL ehH
nai3|N aL ehL
nai4|N aH ehL
nan1|N aH nnH
nan2|N aL nnH
nan3|N aL nnL
nan4|N aH nnL
nang1|N aaH ngH
nang2|N aaL ngH
nang3|N aaL ngL
nang4|N aaH ngL
nao2|N aaL oH
nao3|N aaL oL
nao4|N aaH oL
ne4|N elH elL
ne5|N elM elM
nei3|N ehL iL
nei4|N ehH iL
nen1|N elH nnH
nen3|N elL nnL
nen4|N elH nnL
neng2|N elL ngH
neng4|N elH ngL
ni1|ni iH iH
ni2|ni iL iH
ni3|ni iL iL
ni4|ni iH iL
nian2|ni aL nnH
nian3|ni aL nnL
nian4|ni aH nnL
niang2|ni aaL ngH
niang4|ni aaH ngL
niao3|ni aaL oL
niao4|ni aaH oL
nie1|ni ehH ehH
nie2|ni ehL ehH
nie4|ni ehH ehL
nin2|ni iL nnH
nin3|ni iL nnL
ning2|ni elL ngH
ning3|ni elL ngL
ning4|ni elH ngL
niu1|ni oH uH
niu2|ni oL uH
niu3|ni oL uL
niu4|ni oH uL
nong2|nu uL ngH
nong3|nu uL ngL
nong4|nu uH ngL
nou2|N oL uH
nou4|N oH uL
nu2|nu uL uH
nu3|nu uL uL
nu4|nu uH uL
nuan3|nu aL nnL
nuan4|nu aH nnL
nuo2|nu oL oH
nuo3|nu oL oL
nuo4|nu oH oL
nv3|nv ehL nnL
nv4|nv ehH nnL
nve4|nv elH nnL
o1|uH oH
ou1|oH uH
ou2|oL uH
ou3|oL uL
ou4|oH uL
pa1|P aH aH
pa2|P aL aH
pa4|P aH aL
pai1|P aH ehH
pai2|P aL ehH
pai3|P aL ehL
pai4|P aH ehL
pan1|P aH nnH
pan2|P aL nnH
pan3|P aL nnL
pan4|P aH nnL
pang1|P aaH ngH
pang2|P aaL ngH
pang3|P aaL ngL
pang4|P aaH ngL
pao1|P aaH oH
pao2|P aaL oH
pao3|P aaL oL
pao4|P aaH oL
pei1|P ehH iH
pei2|P ehL iH
pei3|P ehL iL
pei4|P ehH iL
pen1|P elH nnH
pen2|P elL nnH
pen3|P elL nnL
peng1|P elH ngH
peng2|P elL ngH
peng3|P elL ngL
peng4|P elH ngL
pi1|pi iH iH
pi2|pi iL iH
pi3|pi iL iL
pi4|pi iH iL
pian1|pi aH nnH
pian2|pi aL nnH
pian3|pi aL nnL
pian4|pi aH nnL
piao1|pi aaH oH
piao2|pi aaL oH
piao3|pi aaL oL
piao4|pi aaH oL
pie1|pi ehH ehH
pie3|pi ehL ehL
pie4|pi ehH ehL
pin1|pi iH nnH
pin2|pi iL nnH
pin3|pi iL nnL
pin4|pi iH nnL
ping1|pi elH ngH
ping2|pi elL ngH
po1|pu uH oH
po2|pu uL oH
po3|pu uL oL
po4|pu uH oL
pou1|P oH uH
pou2|P oL uH
pou3|P oL uL
pou4|P oH uL
pu1|pu uH uH
pu2|pu uL uH
pu3|pu uL uL
pu4|pu uH uL
qi1|qi iH iH
qi2|qi iL iH
qi3|qi iL iL
qi4|qi iH iL
qia1|qi aH aH
qia2|qi aL aH
qia3|qi aL aL
qia4|qi aH aL
qian1|qi aH nnH
qian2|qi aL nnH
qian3|qi aL nnL
qian4|qi aH nnL
qiang1|qi aaH ngH
qiang2|qi aaL ngH
qiang3|qi aaL ngL
qiang4|qi aaH ngL
qiao1|qi aaH oH
qiao2|qi aaL oH
qiao3|qi aaL oL
qiao4|qi aaH oL
qie1|qi ehH ehH
qie2|qi ehL ehH
qie3|qi ehL ehL
qie4|qi ehH ehL
qin1|qi iH nnH
qin2|qi iL nnH
qin3|qi iL nnL
qin4|qi iH nnL
qing1|qi elH ngH
qing2|qi elL ngH
qing3|qi elL ngL
qing4|qi elH ngL
qiong1|qi uH ngH
qiong2|qi uL ngH
qiong3|qi uL ngL
qiu1|qi oH uH
qiu2|qi oL uH
qiu3|qi oL uL
qiu4|qi oH uL
qu1|uH uH
qu2|uL uH
qu3|uL uL
qu4|uH uL
quan1|aH nnH
quan2|aL nnH
quan3|aL nnL
quan4|aH nnL
que1|qv vH vH
que2|qv vL vH
que4|qv vH vL
qun1|elH nnH
qun2|elL nnH
qun3|elL nnL
ran2|R aL nnH
ran3|R aL nnL
rang2|R aaL ngH
rang3|R aaL ngL
rang4|R aaH ngL
rao2|R aaL oH
rao3|R aaL oL
rao4|R aaH oL
re3|R elL elL
re4|R elH elL
ren2|R elL nnH
ren3|R elL nnL
ren4|R elH nnL
reng1|R elH ngH
reng2|R elL ngH
reng4|R elH ngL
ri4|R ibH ibL
rong2|ru uL ngH
rong3|ru uL ngL
rong4|ru uH ngL
rou2|R oL uH
rou3|R oL uL
rou4|R oH uL
ru2|ru uL uH
ru3|ru uL uL
ru4|ru uH uL
ruan2|ru aL nnH
ruan3|ru aL nnL
rui2|ru ehL iH
rui3|ru ehL iL
rui4|ru ehH iL
run2|ru elL nnH
run4|ru elH nnL
ruo4|ru oH oL
sa1|S aH aH
sa2|S aL aH
sa3|S aL aL
sa4|S aH aL
sai1|S aH ehH
sai3|S aL ehL
sai4|S aH ehL
sai5|S aM ehM
san1|S aH nnH
san3|S aL nnL
san4|S aH nnL
sang1|S aaH ngH
sang3|S aaL ngL
sao1|S aaH oH
sao3|S aaL oL
sao4|S aaH oL
se4|S elH elL
sen1|S elH nnH
seng1|S elH ngH
sha1|Sh aH aH
sha3|Sh aL aL
sha4|Sh aH aL
shai1|Sh aH ehH
shai3|Sh aL ehL
shai4|Sh aH ehL
shan1|Sh aH nnH
shan3|Sh aL nnL
shan4|Sh aH nnL
shang1|Sh aaH ngH
shang3|Sh aaL ngL
shang4|Sh aaH ngL
shao1|Sh aaH oH
shao2|Sh aaL oH
shao3|Sh aaL oL
shao4|Sh aaH oL
she1|Sh elH elH
she2|Sh elL elH
she3|Sh elL elL
she4|Sh elH elL
shen1|Sh elH nnH
shen2|Sh elL nnH
shen3|Sh elL nnL
shen4|Sh elH nnL
sheng1|Sh elH ngH
sheng2|Sh elL ngH
sheng3|Sh elL ngL
sheng4|Sh elH ngL
shi1|Sh ibH ibH
shi2|Sh ibL ibH
shi3|Sh ibL ibL
shi4|Sh ibH ibL
shi5|Sh ibM ibM
shou1|Sh oH uH
shou3|Sh oL uL
shou4|Sh oH uL
shu1|shu uH uH
shu2|shu uL uH
shu3|shu uL uL
shu4|shu uH uL
shua1|shu aH aH
shua3|shu aL aL
shua4|shu aH aL
shuai1|shu aH ehH
shuai3|shu aL ehL
shuai4|shu aH ehL
shuan1|shu aH nnH
shuan4|shu aH nnL
shuang1|shu aaH ngH
shuang3|shu aaL ngL
shuang4|shu aaH ngL
shui2|shu ehL iH
shui3|shu ehL iL
shui4|shu ehH iL
shun3|shu elL nnL
shun4|shu elH nnL
shuo1|shu oH oH
shuo4|shu oH oL
si1|S ifH ifH
si3|S ifL ifL
si4|S ifH ifL
song1|su uH ngH
song3|su uL ngL
song4|su uH ngL
sou1|S oH uH
sou3|S oL uL
sou4|S oH uL
su1|su uH uH
su2|su uL uH
su4|su uH uL
suan1|su aH nnH
suan3|su aL nnL
suan4|su aH nnL
sui1|su ehH iH
sui2|su ehL iH
sui3|su ehL iL
sui4|su ehH iL
sun1|su elH nnH
sun3|su elL nnL
sun4|su elH nnL
suo1|su oH oH
suo3|su oL oL
suo4|su oH oL
ta1|T aH aH
ta3|T aL aL
ta4|T aH aL
tai1|T aH ehH
tai2|T aL ehH
tai4|T aH ehL
tan1|T aH nnH
tan2|T aL nnH
tan3|T aL nnL
tan4|T aH nnL
tang1|T aaH ngH
tang2|T aaL ngH
tang3|T aaL ngL
tang4|T aaH ngL
tao1|T aaH oH
tao2|T aaL oH
tao3|T aaL oL
tao4|T aaH oL
te4|T elH elL
teng1|T elH ngH
teng2|T elL ngH
ti1|ti iH iH
ti2|ti iL iH
ti3|ti iL iL
ti4|ti iH iL
tian1|ti aH nnH
tian2|ti aL nnH
tian3|ti aL nnL
tian4|ti aH nnL
tian5|ti aM nnM
tiao1|ti aaH oH
tiao2|ti aaL oH
tiao3|ti aaL oL
tiao4|ti aaH oL
tie1|ti ehH ehH
tie3|ti ehL ehL
tie4|ti ehH ehL
ting1|ti elH ngH
ting2|ti elL ngH
ting3|ti elL ngL
tong1|tu uH ngH
tong2|tu uL ngH
tong3|tu uL ngL
tong4|tu uH ngL
tou1|T oH uH
tou2|T oL uH
tou3|T oL uL
tou4|T oH uL
tu1|tu uH uH
tu2|tu uL uH
tu3|tu uL uL
tu4|tu uH uL
tuan1|tu aH nnH
tuan2|tu aL nnH
tuan3|tu aL nnL
tuan4|tu aH nnL
tui1|tu ehH iH
tui2|tu ehL iH
tui3|tu ehL iL
tui4|tu ehH iL
tun1|tu elH nnH
tun2|tu elL nnH
tun3|tu elL nnL
tun4|tu elH nnL
tuo1|tu oH oH
tuo2|tu oL oH
tuo3|tu oL oL
tuo4|tu oH oL
wa1|wu aH aH
wa2|wu aL aH
wa3|wu aL aL
wa4|wu aH aL
wai1|wu aH ehH
wai4|wu aH ehL
wan1|wu aH nnH
wan2|wu aL nnH
wan3|wu aL nnL
wan4|wu aH nnL
wang1|wu aaH ngH
wang2|wu aaL ngH
wang3|wu aaL ngL
wang4|wu aaH ngL
wei1|wu ehH iH
